Country/Region,Region,Year,Birth Rate,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban
Serbia,Europe,12/1/2004,1.10%,0.185,0.676,0.139,7.5M,54.30%
Slovakia,Europe,12/1/2004,1.00%,0.173,0.711,0.116,5.4M,55.70%
Slovenia,Europe,12/1/2004,0.90%,0.144,0.703,0.153,2.0M,50.60%
Spain,Europe,12/1/2004,1.10%,0.145,0.687,0.168,42.9M,77.00%
Sweden,Europe,12/1/2004,1.10%,0.176,0.651,0.172,9.0M,84.30%
Switzerland,Europe,12/1/2004,1.00%,0.166,0.678,0.157,7.4M,73.40%
Turkey,Europe,12/1/2004,2.00%,0.289,0.646,0.065,66.8M,67.20%
Ukraine,Europe,12/1/2004,0.90%,0.151,0.694,0.155,47.5M,67.60%
United Kingdom,Europe,12/1/2004,1.20%,0.181,0.66,0.159,60.0M,79.60%
Bahrain,Middle East,12/1/2004,1.90%,0.283,0.694,0.023,0.8M,88.40%
Iran,Middle East,12/1/2004,1.80%,0.272,0.68,0.048,69.3M,66.90%
Iraq,Middle East,12/1/2004,3.50%,0.421,0.545,0.035,26.7M,68.70%
Israel,Middle East,12/1/2004,2.10%,0.279,0.621,0.1,6.8M,91.50%
Jordan,Middle East,12/1/2004,3.00%,0.383,0.585,0.032,5.3M,80.90%
Kuwait,Middle East,12/1/2004,2.10%,0.255,0.711,0.034,2.2M,98.20%
Lebanon,Middle East,12/1/2004,1.50%,0.283,0.644,0.074,3.9M,86.50%
Oman,Middle East,12/1/2004,2.20%,0.359,0.616,0.025,2.5M,71.80%
Qatar,Middle East,12/1/2004,1.60%,0.259,0.727,0.014,0.7M,97.10%
Saudi Arabia,Middle East,12/1/2004,2.40%,0.351,0.617,0.032,23.8M,80.80%
Syria,Middle East,12/1/2004,2.80%,0.392,0.575,0.034,17.7M,53.40%
United Arab Emirates,Middle East,12/1/2004,1.60%,0.219,0.771,0.009,3.7M,81.90%
Yemen,Middle East,12/1/2004,3.60%,0.463,0.51,0.027,19.6M,28.40%
American Samoa,Oceania,12/1/2004,0,0,0,0,0.1M,88.20%
Australia,Oceania,12/1/2004,1.20%,0.2,0.672,0.128,20.1M,87.80%
Fiji,Oceania,12/1/2004,2.40%,0.314,0.646,0.04,0.8M,49.50%
French Polynesia,Oceania,12/1/2004,1.90%,0.286,0.666,0.048,0.3M,56.20%
Guam,Oceania,12/1/2004,2.00%,0.298,0.64,0.062,0.2M,93.50%
Kiribati,Oceania,12/1/2004,2.50%,0.377,0.587,0.036,0.1M,43.50%
Marshall Islands,Oceania,12/1/2004,0,0,0,0,0.1M,69.60%
"Micronesia, Fed. Sts.",Oceania,12/1/2004,2.70%,0.391,0.57,0.04,0.1M,22.30%
New Caledonia,Oceania,12/1/2004,1.70%,0.274,0.661,0.066,0.2M,63.30%
New Zealand,Oceania,12/1/2004,1.40%,0.218,0.663,0.119,4.1M,86.00%
Papua New Guinea,Oceania,12/1/2004,3.30%,0.401,0.574,0.026,5.9M,13.10%
Samoa,Oceania,12/1/2004,3.00%,0.398,0.554,0.048,0.2M,21.50%
Solomon Islands,Oceania,12/1/2004,3.50%,0.414,0.557,0.029,0.5M,17.40%
Tonga,Oceania,12/1/2004,2.90%,0.381,0.558,0.06,0.1M,23.10%
Vanuatu,Oceania,12/1/2004,3.00%,0.4,0.567,0.033,0.2M,22.80%
Antigua and Barbuda,The Americas,12/1/2004,1.90%,0.286,0.642,0.072,0.1M,29.80%
Argentina,The Americas,12/1/2004,1.80%,0.266,0.632,0.102,38.3M,89.90%
Aruba,The Americas,12/1/2004,1.30%,0.217,0.699,0.083,0.1M,45.20%
"Bahamas, The",The Americas,12/1/2004,1.50%,0.263,0.676,0.061,0.3M,82.20%
Barbados,The Americas,12/1/2004,1.30%,0.209,0.681,0.11,0.3M,33.10%
Belize,The Americas,12/1/2004,2.70%,0.384,0.575,0.041,0.3M,46.60%
Bermuda,The Americas,12/1/2004,1.30%,0,0,0,0.1M,100.00%
Bolivia,The Americas,12/1/2004,2.90%,0.387,0.569,0.044,9.2M,63.70%
Brazil,The Americas,12/1/2004,1.90%,0.28,0.66,0.06,184.0M,82.50%
Mauritius,Africa,12/1/2005,1.50%,0.242,0.692,0.066,1.2M,41.60%
Tunisia,Africa,12/1/2005,1.70%,0.258,0.675,0.067,10.0M,65.10%
Seychelles,Africa,12/1/2005,1.90%,0.243,0.681,0.075,0.1M,51.10%
Morocco,Africa,12/1/2005,2.00%,0.308,0.642,0.05,30.1M,55.10%
Algeria,Africa,12/1/2005,2.10%,0.289,0.667,0.044,34.0M,63.80%
South Africa,Africa,12/1/2005,2.30%,0.308,0.648,0.044,47.6M,59.50%
Libya,Africa,12/1/2005,2.30%,0.306,0.651,0.043,5.6M,76.90%
Egypt,Africa,12/1/2005,2.40%,0.325,0.62,0.055,71.8M,43.00%
Botswana,Africa,12/1/2005,2.50%,0.358,0.61,0.032,1.9M,55.10%
Lesotho,Africa,12/1/2005,2.90%,0.397,0.557,0.046,1.9M,22.20%
Namibia,Africa,12/1/2005,2.90%,0.398,0.569,0.033,2.0M,36.60%
Djibouti,Africa,12/1/2005,2.90%,0.373,0.594,0.034,0.8M,76.80%
Zimbabwe,Africa,12/1/2005,3.20%,0.415,0.548,0.037,12.7M,34.10%
Swaziland,Africa,12/1/2005,3.20%,0.418,0.55,0.032,1.1M,22.00%
Gabon,Africa,12/1/2005,3.30%,0.395,0.549,0.056,1.4M,83.40%
Ghana,Africa,12/1/2005,3.40%,0.402,0.564,0.034,21.4M,47.30%
Central African Republic,Africa,12/1/2005,3.70%,0.419,0.542,0.04,4.0M,38.10%
Cote d'Ivoire,Africa,12/1/2005,3.70%,0.423,0.547,0.03,17.4M,46.80%
Mauritania,Africa,12/1/2005,3.70%,0.416,0.553,0.031,3.1M,53.10%
Equatorial Guinea,Africa,12/1/2005,3.80%,0.406,0.561,0.032,0.6M,38.90%
Togo,Africa,12/1/2005,3.80%,0.428,0.544,0.028,5.5M,35.20%
Rwanda,Africa,12/1/2005,3.80%,0.442,0.532,0.025,9.4M,19.30%
Sudan,Africa,12/1/2005,3.80%,0.432,0.538,0.03,31.6M,32.80%
Madagascar,Africa,12/1/2005,3.80%,0.448,0.523,0.029,18.3M,28.80%
Sao Tome and Principe,Africa,12/1/2005,3.80%,0.42,0.54,0.04,0.2M,58.00%
Congo (Brazzaville),Africa,12/1/2005,3.90%,0.422,0.543,0.035,3.5M,61.00%
Kenya,Africa,12/1/2005,3.90%,0.428,0.545,0.027,35.8M,21.70%
Ethiopia,Africa,12/1/2005,3.90%,0.462,0.507,0.031,76.2M,15.70%
Comoros,Africa,12/1/2005,3.90%,0.415,0.555,0.03,0.6M,27.90%
Senegal,Africa,12/1/2005,3.90%,0.441,0.527,0.032,11.3M,41.10%
South Sudan,Africa,12/1/2005,4.00%,0.44,0.527,0.032,8.0M,17.20%
Cameroon,Africa,12/1/2005,4.00%,0.443,0.524,0.033,18.1M,48.50%
Guinea-Bissau,Africa,12/1/2005,4.00%,0.429,0.542,0.029,1.4M,40.90%
Guinea,Africa,12/1/2005,4.00%,0.436,0.531,0.032,9.6M,32.80%
Liberia,Africa,12/1/2005,4.00%,0.433,0.537,0.03,3.3M,46.10%
Benin,Africa,12/1/2005,4.00%,0.445,0.527,0.028,8.2M,40.00%
Eritrea,Africa,12/1/2005,4.00%,0.435,0.545,0.02,4.9M,18.90%
Sierra Leone,Africa,12/1/2005,4.20%,0.427,0.549,0.024,5.1M,36.80%
Nigeria,Africa,12/1/2005,4.20%,0.436,0.537,0.027,139.6M,39.10%
Malawi,Africa,12/1/2005,4.20%,0.461,0.508,0.031,12.9M,15.10%
Tanzania,Africa,12/1/2005,4.20%,0.446,0.524,0.03,38.8M,24.80%
Zambia,Africa,12/1/2005,4.40%,0.467,0.506,0.027,11.5M,36.60%
Mozambique,Africa,12/1/2005,4.40%,0.448,0.52,0.032,21.0M,30.00%
Burundi,Africa,12/1/2005,4.40%,0.454,0.519,0.027,7.8M,9.40%
"Gambia, The",Africa,12/1/2005,4.40%,0.46,0.515,0.025,1.4M,52.30%
Burkina Faso,Africa,12/1/2005,4.50%,0.465,0.509,0.026,13.4M,21.50%
Congo (Kinshasa),Africa,12/1/2005,4.60%,0.462,0.51,0.028,54.0M,37.50%
Somalia,Africa,12/1/2005,4.70%,0.477,0.494,0.029,8.5M,35.20%
Uganda,Africa,12/1/2005,4.70%,0.494,0.481,0.025,28.7M,13.00%
Mali,Africa,12/1/2005,4.80%,0.463,0.506,0.031,11.9M,32.10%
Angola,Africa,12/1/2005,4.90%,0.478,0.498,0.025,16.5M,36.20%
Chad,Africa,12/1/2005,5.00%,0.492,0.481,0.027,10.0M,21.80%
Niger,Africa,12/1/2005,5.10%,0.49,0.485,0.025,13.2M,16.70%
Mauritius,Africa,12/1/2006,1.40%,0.236,0.696,0.068,1.3M,41.40%
Seychelles,Africa,12/1/2006,1.70%,0.238,0.688,0.075,0.1M,51.30%
Tunisia,Africa,12/1/2006,1.70%,0.252,0.681,0.068,10.1M,65.30%
Morocco,Africa,12/1/2006,2.00%,0.302,0.648,0.05,30.4M,55.60%
Algeria,Africa,12/1/2006,2.20%,0.282,0.673,0.045,34.5M,64.60%
South Africa,Africa,12/1/2006,2.30%,0.305,0.649,0.046,48.3M,60.10%
Libya,Africa,12/1/2006,2.30%,0.303,0.654,0.043,5.7M,77.00%
Egypt,Africa,12/1/2006,2.40%,0.322,0.624,0.055,73.0M,43.10%
Botswana,Africa,12/1/2006,2.50%,0.354,0.613,0.033,1.9M,55.30%
Lesotho,Africa,12/1/2006,2.90%,0.393,0.561,0.046,1.9M,22.80%
Namibia,Africa,12/1/2006,2.90%,0.395,0.571,0.033,2.1M,37.60%
Djibouti,Africa,12/1/2006,2.90%,0.365,0.601,0.034,0.8M,76.80%
Swaziland,Africa,12/1/2006,3.10%,0.412,0.556,0.032,1.1M,21.90%
Zimbabwe,Africa,12/1/2006,3.20%,0.415,0.548,0.038,12.7M,33.90%
Gabon,Africa,12/1/2006,3.30%,0.393,0.551,0.056,1.4M,84.00%
Ghana,Africa,12/1/2006,3.40%,0.399,0.566,0.034,21.9M,48.00%
Cote d'Ivoire,Africa,12/1/2006,3.60%,0.423,0.547,0.03,17.7M,47.50%
Central African Republic,Africa,12/1/2006,3.70%,0.417,0.544,0.04,4.0M,38.20%
Sudan,Africa,12/1/2006,3.70%,0.43,0.539,0.031,32.4M,32.80%
Mauritania,Africa,12/1/2006,3.70%,0.413,0.555,0.031,3.2M,53.90%
Madagascar,Africa,12/1/2006,3.70%,0.446,0.525,0.029,18.8M,29.40%
Equatorial Guinea,Africa,12/1/2006,3.80%,0.403,0.566,0.032,0.6M,38.90%
Togo,Africa,12/1/2006,3.80%,0.426,0.546,0.028,5.7M,35.60%
Kenya,Africa,12/1/2006,3.80%,0.427,0.546,0.027,36.8M,22.00%
Rwanda,Africa,12/1/2006,3.80%,0.442,0.533,0.024,9.7M,20.20%
Ethiopia,Africa,12/1/2006,3.80%,0.46,0.509,0.031,78.3M,15.90%
Sao Tome and Principe,Africa,12/1/2006,3.80%,0.418,0.542,0.039,0.2M,58.80%
South Sudan,Africa,12/1/2006,3.90%,0.438,0.529,0.033,8.4M,17.30%
Congo (Brazzaville),Africa,12/1/2006,3.90%,0.422,0.543,0.035,3.6M,61.40%
Comoros,Africa,12/1/2006,3.90%,0.417,0.553,0.03,0.6M,27.90%
Senegal,Africa,12/1/2006,3.90%,0.44,0.529,0.032,11.6M,41.30%
Cameroon,Africa,12/1/2006,4.00%,0.441,0.526,0.033,18.6M,49.10%
Guinea-Bissau,Africa,12/1/2006,4.00%,0.427,0.544,0.029,1.5M,41.70%
Guinea,Africa,12/1/2006,4.00%,0.435,0.533,0.032,9.8M,33.20%
Liberia,Africa,12/1/2006,4.00%,0.434,0.536,0.03,3.4M,46.40%
Benin,Africa,12/1/2006,4.00%,0.443,0.529,0.028,8.4M,40.30%
Eritrea,Africa,12/1/2006,4.00%,0.432,0.548,0.02,5.0M,19.20%
Sierra Leone,Africa,12/1/2006,4.10%,0.426,0.549,0.025,5.3M,37.10%
Nigeria,Africa,12/1/2006,4.20%,0.436,0.536,0.027,143.3M,39.90%
Malawi,Africa,12/1/2006,4.20%,0.461,0.508,0.03,13.3M,15.10%
Tanzania,Africa,12/1/2006,4.20%,0.447,0.523,0.03,39.9M,25.50%
Mozambique,Africa,12/1/2006,4.30%,0.45,0.519,0.032,21.6M,30.20%
Zambia,Africa,12/1/2006,4.40%,0.468,0.505,0.027,11.8M,37.00%
Burundi,Africa,12/1/2006,4.40%,0.449,0.524,0.027,8.0M,9.60%
Burkina Faso,Africa,12/1/2006,4.40%,0.464,0.51,0.025,13.8M,22.30%
"Gambia, The",Africa,12/1/2006,4.40%,0.46,0.515,0.025,1.5M,53.20%
Congo (Kinshasa),Africa,12/1/2006,4.60%,0.461,0.511,0.028,55.6M,38.00%
Uganda,Africa,12/1/2006,4.60%,0.493,0.482,0.025,29.7M,13.30%
Somalia,Africa,12/1/2006,4.70%,0.478,0.493,0.029,8.7M,35.60%
Mali,Africa,12/1/2006,4.80%,0.464,0.506,0.03,12.3M,32.80%
Chad,Africa,12/1/2006,4.90%,0.492,0.482,0.026,10.4M,21.80%
Angola,Africa,12/1/2006,4.90%,0.478,0.497,0.024,17.1M,36.90%
Niger,Africa,12/1/2006,5.10%,0.492,0.483,0.025,13.7M,16.90%
Mauritius,Africa,12/1/2007,1.40%,0.23,0.7,0.07,1.3M,41.20%
Tunisia,Africa,12/1/2007,1.70%,0.246,0.686,0.068,10.2M,65.40%
Seychelles,Africa,12/1/2007,1.80%,0.233,0.693,0.075,0.1M,51.50%
Morocco,Africa,12/1/2007,2.00%,0.295,0.654,0.05,30.7M,56.20%
South Africa,Africa,12/1/2007,2.20%,0.303,0.65,0.048,48.9M,60.60%
Algeria,Africa,12/1/2007,2.30%,0.277,0.677,0.046,35.1M,65.30%
Libya,Africa,12/1/2007,2.30%,0.3,0.656,0.044,5.8M,77.20%
Egypt,Africa,12/1/2007,2.40%,0.319,0.626,0.054,74.2M,43.10%
Botswana,Africa,12/1/2007,2.50%,0.351,0.616,0.033,1.9M,55.50%
Lesotho,Africa,12/1/2007,2.80%,0.389,0.566,0.045,2.0M,23.30%
Namibia,Africa,12/1/2007,2.80%,0.391,0.575,0.034,2.1M,38.60%
Djibouti,Africa,12/1/2007,2.90%,0.357,0.608,0.035,0.8M,76.90%
Swaziland,Africa,12/1/2007,3.10%,0.406,0.562,0.032,1.1M,21.80%
Zimbabwe,Africa,12/1/2007,3.20%,0.415,0.546,0.038,12.7M,33.70%
Ghana,Africa,12/1/2007,3.30%,0.397,0.568,0.035,22.5M,48.70%
Gabon,Africa,12/1/2007,3.30%,0.391,0.554,0.055,1.4M,84.40%
Central African Republic,Africa,12/1/2007,3.60%,0.415,0.546,0.039,4.1M,38.30%
Cote d'Ivoire,Africa,12/1/2007,3.60%,0.422,0.548,0.03,17.9M,48.30%
Sudan,Africa,12/1/2007,3.60%,0.428,0.541,0.031,33.2M,32.90%
Mauritania,Africa,12/1/2007,3.60%,0.411,0.557,0.031,3.3M,54.60%
Ethiopia,Africa,12/1/2007,3.70%,0.457,0.511,0.032,80.4M,16.10%
Madagascar,Africa,12/1/2007,3.70%,0.443,0.528,0.029,19.4M,30.00%
Equatorial Guinea,Africa,12/1/2007,3.80%,0.4,0.569,0.031,0.6M,39.00%
Togo,Africa,12/1/2007,3.80%,0.425,0.548,0.028,5.8M,36.10%
Kenya,Africa,12/1/2007,3.80%,0.426,0.547,0.027,37.8M,22.40%
Rwanda,Africa,12/1/2007,3.80%,0.445,0.532,0.024,9.9M,21.10%
Sao Tome and Principe,Africa,12/1/2007,3.80%,0.417,0.544,0.039,0.2M,59.70%
South Sudan,Africa,12/1/2007,3.90%,0.436,0.531,0.033,8.7M,17.40%
Guinea,Africa,12/1/2007,3.90%,0.433,0.534,0.032,10.0M,33.60%
Congo (Brazzaville),Africa,12/1/2007,3.90%,0.422,0.543,0.035,3.8M,61.90%
Liberia,Africa,12/1/2007,3.90%,0.434,0.535,0.03,3.5M,46.70%
Benin,Africa,12/1/2007,3.90%,0.441,0.531,0.028,8.7M,40.70%
Comoros,Africa,12/1/2007,3.90%,0.418,0.552,0.03,0.6M,27.90%
Senegal,Africa,12/1/2007,3.90%,0.439,0.53,0.031,11.9M,41.50%
Sierra Leone,Africa,12/1/2007,4.00%,0.425,0.55,0.025,5.4M,37.40%
Cameroon,Africa,12/1/2007,4.00%,0.439,0.528,0.033,19.1M,49.70%
Guinea-Bissau,Africa,12/1/2007,4.00%,0.425,0.546,0.029,1.5M,42.60%
Eritrea,Africa,12/1/2007,4.00%,0.431,0.549,0.02,5.2M,19.50%
Nigeria,Africa,12/1/2007,4.20%,0.437,0.536,0.027,147.2M,40.80%
Malawi,Africa,12/1/2007,4.20%,0.461,0.509,0.03,13.7M,15.20%
Tanzania,Africa,12/1/2007,4.20%,0.447,0.522,0.03,41.1M,26.10%
Mozambique,Africa,12/1/2007,4.30%,0.451,0.517,0.032,22.2M,30.40%
Zambia,Africa,12/1/2007,4.40%,0.469,0.504,0.027,12.1M,37.50%
Burundi,Africa,12/1/2007,4.40%,0.445,0.529,0.026,8.3M,9.90%
Burkina Faso,Africa,12/1/2007,4.40%,0.463,0.511,0.025,14.2M,23.20%
"Gambia, The",Africa,12/1/2007,4.40%,0.46,0.514,0.025,1.5M,54.00%
Congo (Kinshasa),Africa,12/1/2007,4.50%,0.46,0.512,0.028,57.2M,38.40%
Somalia,Africa,12/1/2007,4.60%,0.478,0.493,0.029,8.9M,36.00%
Uganda,Africa,12/1/2007,4.60%,0.492,0.483,0.025,30.7M,13.60%
Angola,Africa,12/1/2007,4.80%,0.479,0.497,0.024,17.7M,37.70%
Mali,Africa,12/1/2007,4.80%,0.464,0.506,0.03,12.7M,33.60%
Chad,Africa,12/1/2007,4.90%,0.492,0.482,0.026,10.7M,21.90%
Niger,Africa,12/1/2007,5.10%,0.494,0.481,0.025,14.2M,17.00%
Mauritius,Africa,12/1/2008,1.30%,0.224,0.704,0.072,1.3M,41.00%
Seychelles,Africa,12/1/2008,1.80%,0.229,0.696,0.075,0.1M,51.80%
Tunisia,Africa,12/1/2008,1.80%,0.241,0.69,0.069,10.3M,65.60%
Morocco,Africa,12/1/2008,2.10%,0.289,0.66,0.05,31.0M,56.70%
South Africa,Africa,12/1/2008,2.20%,0.3,0.65,0.049,49.6M,61.20%
Libya,Africa,12/1/2008,2.20%,0.297,0.658,0.044,5.9M,77.30%
Egypt,Africa,12/1/2008,2.40%,0.318,0.628,0.054,75.5M,43.10%
Algeria,Africa,12/1/2008,2.40%,0.274,0.68,0.047,35.7M,66.10%
Botswana,Africa,12/1/2008,2.50%,0.348,0.618,0.034,1.9M,55.80%
Lesotho,Africa,12/1/2008,2.80%,0.385,0.571,0.044,2.0M,23.80%
Namibia,Africa,12/1/2008,2.80%,0.387,0.579,0.034,2.1M,39.60%
Djibouti,Africa,12/1/2008,2.90%,0.351,0.614,0.035,0.8M,76.90%
Swaziland,Africa,12/1/2008,3.10%,0.399,0.568,0.033,1.2M,21.70%
Zimbabwe,Africa,12/1/2008,3.20%,0.416,0.545,0.039,12.8M,33.60%
Ghana,Africa,12/1/2008,3.30%,0.394,0.571,0.035,23.1M,49.40%
Gabon,Africa,12/1/2008,3.30%,0.389,0.556,0.055,1.5M,84.90%
Central African Republic,Africa,12/1/2008,3.60%,0.412,0.549,0.039,4.2M,38.50%
Cote d'Ivoire,Africa,12/1/2008,3.60%,0.421,0.549,0.03,18.3M,49.00%
Ethiopia,Africa,12/1/2008,3.60%,0.453,0.515,0.032,82.6M,16.50%
Mauritania,Africa,12/1/2008,3.60%,0.409,0.559,0.031,3.4M,55.30%
Sudan,Africa,12/1/2008,3.60%,0.426,0.543,0.031,34.0M,32.90%
Madagascar,Africa,12/1/2008,3.60%,0.44,0.531,0.029,19.9M,30.70%
Equatorial Guinea,Africa,12/1/2008,3.70%,0.397,0.572,0.03,0.7M,39.00%
Sao Tome and Principe,Africa,12/1/2008,3.70%,0.416,0.546,0.038,0.2M,60.40%
South Sudan,Africa,12/1/2008,3.80%,0.434,0.533,0.033,9.1M,17.60%
Togo,Africa,12/1/2008,3.80%,0.423,0.549,0.028,6.0M,36.60%
Kenya,Africa,12/1/2008,3.80%,0.426,0.547,0.026,38.8M,22.80%
Liberia,Africa,12/1/2008,3.80%,0.434,0.535,0.031,3.7M,47.10%
Comoros,Africa,12/1/2008,3.80%,0.42,0.55,0.03,0.6M,27.90%
Rwanda,Africa,12/1/2008,3.80%,0.447,0.53,0.023,10.2M,22.00%
Cameroon,Africa,12/1/2008,3.90%,0.438,0.53,0.033,19.6M,50.30%
Guinea-Bissau,Africa,12/1/2008,3.90%,0.423,0.548,0.029,1.5M,43.50%
Guinea,Africa,12/1/2008,3.90%,0.432,0.536,0.032,10.3M,34.00%
Congo (Brazzaville),Africa,12/1/2008,3.90%,0.422,0.544,0.034,3.9M,62.30%
Benin,Africa,12/1/2008,3.90%,0.439,0.533,0.029,9.0M,41.10%
Eritrea,Africa,12/1/2008,3.90%,0.43,0.549,0.02,5.4M,19.90%
Senegal,Africa,12/1/2008,3.90%,0.438,0.531,0.031,12.2M,41.70%
Sierra Leone,Africa,12/1/2008,4.00%,0.424,0.551,0.025,5.5M,37.60%
Tanzania,Africa,12/1/2008,4.10%,0.448,0.522,0.031,42.4M,26.80%
Mozambique,Africa,12/1/2008,4.20%,0.452,0.516,0.032,22.8M,30.50%
Nigeria,Africa,12/1/2008,4.20%,0.438,0.535,0.027,151.2M,41.70%
Malawi,Africa,12/1/2008,4.20%,0.46,0.509,0.03,14.1M,15.30%
Zambia,Africa,12/1/2008,4.30%,0.47,0.504,0.027,12.5M,37.90%
Burkina Faso,Africa,12/1/2008,4.40%,0.462,0.512,0.025,14.7M,24.00%
"Gambia, The",Africa,12/1/2008,4.40%,0.46,0.514,0.025,1.6M,54.80%
Congo (Kinshasa),Africa,12/1/2008,4.50%,0.458,0.514,0.028,58.8M,38.90%
Burundi,Africa,12/1/2008,4.50%,0.442,0.532,0.026,8.6M,10.10%
Somalia,Africa,12/1/2008,4.60%,0.478,0.493,0.029,9.1M,36.40%
Uganda,Africa,12/1/2008,4.60%,0.491,0.484,0.025,31.8M,13.90%
Chad,Africa,12/1/2008,4.80%,0.491,0.484,0.026,11.0M,21.90%
Angola,Africa,12/1/2008,4.80%,0.479,0.497,0.024,18.3M,38.50%
Mali,Africa,12/1/2008,4.80%,0.465,0.505,0.03,13.1M,34.40%
Niger,Africa,12/1/2008,5.00%,0.496,0.479,0.026,14.7M,17.20%
Mauritius,Africa,12/1/2009,1.20%,0.217,0.708,0.075,1.3M,40.80%
Seychelles,Africa,12/1/2009,1.80%,0.225,0.699,0.076,0.1M,52.00%
Tunisia,Africa,12/1/2009,1.80%,0.238,0.693,0.069,10.4M,65.80%
Morocco,Africa,12/1/2009,2.10%,0.285,0.665,0.05,31.3M,57.20%
South Africa,Africa,12/1/2009,2.20%,0.299,0.651,0.051,50.2M,61.70%
Libya,Africa,12/1/2009,2.20%,0.295,0.659,0.045,6.0M,77.50%
Egypt,Africa,12/1/2009,2.40%,0.316,0.629,0.055,76.8M,43.00%
Algeria,Africa,12/1/2009,2.40%,0.272,0.681,0.047,36.4M,66.80%
Botswana,Africa,12/1/2009,2.50%,0.345,0.621,0.034,2.0M,56.00%
Namibia,Africa,12/1/2009,2.70%,0.382,0.584,0.034,2.1M,40.60%
Lesotho,Africa,12/1/2009,2.80%,0.381,0.576,0.043,2.0M,24.30%
Djibouti,Africa,12/1/2009,2.90%,0.345,0.618,0.036,0.8M,76.90%
Swaziland,Africa,12/1/2009,3.10%,0.393,0.574,0.033,1.2M,21.60%
Zimbabwe,Africa,12/1/2009,3.20%,0.415,0.546,0.04,12.9M,33.40%
Ghana,Africa,12/1/2009,3.30%,0.392,0.573,0.035,23.7M,50.00%
Gabon,Africa,12/1/2009,3.30%,0.388,0.559,0.054,1.5M,85.30%
Central African Republic,Africa,12/1/2009,3.50%,0.409,0.552,0.039,4.3M,38.60%
Ethiopia,Africa,12/1/2009,3.50%,0.449,0.518,0.033,84.8M,16.90%
Sudan,Africa,12/1/2009,3.50%,0.423,0.546,0.031,34.9M,33.00%
Cote d'Ivoire,Africa,12/1/2009,3.60%,0.42,0.55,0.031,18.6M,49.80%
Mauritania,Africa,12/1/2009,3.60%,0.407,0.561,0.031,3.5M,56.00%
Madagascar,Africa,12/1/2009,3.60%,0.437,0.534,0.029,20.5M,31.30%
Equatorial Guinea,Africa,12/1/2009,3.70%,0.395,0.575,0.03,0.7M,39.10%
Kenya,Africa,12/1/2009,3.70%,0.426,0.548,0.026,39.8M,23.20%
Rwanda,Africa,12/1/2009,3.70%,0.448,0.529,0.023,10.5M,23.00%
Sao Tome and Principe,Africa,12/1/2009,3.70%,0.416,0.547,0.037,0.2M,61.20%
South Sudan,Africa,12/1/2009,3.80%,0.431,0.535,0.034,9.5M,17.70%
Togo,Africa,12/1/2009,3.80%,0.422,0.551,0.027,6.1M,37.10%
Benin,Africa,12/1/2009,3.80%,0.436,0.535,0.029,9.2M,41.50%
Liberia,Africa,12/1/2009,3.80%,0.434,0.535,0.031,3.8M,47.40%
Comoros,Africa,12/1/2009,3.80%,0.421,0.549,0.029,0.7M,27.90%
Sierra Leone,Africa,12/1/2009,3.90%,0.423,0.551,0.025,5.6M,37.90%
Cameroon,Africa,12/1/2009,3.90%,0.436,0.532,0.033,20.1M,50.90%
Guinea-Bissau,Africa,12/1/2009,3.90%,0.421,0.55,0.03,1.6M,44.30%
Guinea,Africa,12/1/2009,3.90%,0.43,0.538,0.032,10.6M,34.40%
Congo (Brazzaville),Africa,12/1/2009,3.90%,0.422,0.544,0.034,4.0M,62.80%
Eritrea,Africa,12/1/2009,3.90%,0.43,0.549,0.021,5.6M,20.20%
Senegal,Africa,12/1/2009,3.90%,0.437,0.532,0.031,12.6M,42.00%
Mozambique,Africa,12/1/2009,4.10%,0.453,0.515,0.032,23.4M,30.70%
Malawi,Africa,12/1/2009,4.10%,0.459,0.51,0.031,14.6M,15.40%
Tanzania,Africa,12/1/2009,4.10%,0.448,0.521,0.031,43.6M,27.40%
Nigeria,Africa,12/1/2009,4.20%,0.439,0.534,0.027,155.4M,42.60%
Zambia,Africa,12/1/2009,4.30%,0.47,0.504,0.027,12.8M,38.30%
Burkina Faso,Africa,12/1/2009,4.30%,0.461,0.514,0.025,15.1M,24.80%
"Gambia, The",Africa,12/1/2009,4.30%,0.46,0.515,0.025,1.6M,55.60%
Congo (Kinshasa),Africa,12/1/2009,4.40%,0.456,0.515,0.028,60.5M,39.40%
Burundi,Africa,12/1/2009,4.50%,0.44,0.535,0.026,8.9M,10.40%
Uganda,Africa,12/1/2009,4.50%,0.49,0.486,0.025,32.9M,14.20%
Somalia,Africa,12/1/2009,4.60%,0.478,0.494,0.028,9.4M,36.80%
Angola,Africa,12/1/2009,4.70%,0.479,0.497,0.024,18.9M,39.30%
Chad,Africa,12/1/2009,4.80%,0.49,0.485,0.025,11.4M,21.90%
Mali,Africa,12/1/2009,4.80%,0.467,0.504,0.029,13.6M,35.20%
Niger,Africa,12/1/2009,5.00%,0.497,0.477,0.026,15.3M,17.40%
Mauritius,Africa,12/1/2010,1.20%,0.212,0.711,0.077,1.3M,40.60%
Seychelles,Africa,12/1/2010,1.70%,0.223,0.701,0.076,0.1M,52.30%
Tunisia,Africa,12/1/2010,1.90%,0.235,0.696,0.069,10.5M,65.90%
South Africa,Africa,12/1/2010,2.20%,0.297,0.651,0.052,50.9M,62.20%
Morocco,Africa,12/1/2010,2.20%,0.281,0.669,0.05,31.6M,57.70%
